record_id,FearvNon,redcap_survey_identifier,final_research_project_42ed_timestamp,consent,videowarning_v2,poststress_v2,question_1,CW1,question_2,CW2,question3,CW3,question4,CW4,question_5,CW5,question_6,CW6,question_7,CW7,question8,Cw8,question9,CW9,question10,CW10,VideoCPerc,word1,CwW1,word2,CwW2,word3,CwW3,word4,CwW4,word5,CwW5,word6,CwW6,word7,CwW7,word8,CwW8,word9,CwW9,word10,CwW10,word11,CwW11,word12,CwW12,word13,CwW13,word14,CwW14,word_15,CwW15,WordRecTot,final_research_project_42ed_complete
4,1,,11/18/2025 11:43,1,1,37,3,1,2,1,3,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,90,0,2,1,1,0,1,1,1,0,1,0,1,0,1,0,2,1,2,0,2,0,1,0,2,1,1,0,1,0,2,60,2
6,1,,11/18/2025 11:53,1,1,71,3,1,1,2,3,1,2,2,3,2,1,1,2,2,1,1,2,1,1,1,50,1,1,1,1,0,1,0,2,0,1,0,1,0,1,0,2,0,2,1,1,0,1,0,2,1,1,1,2,1,1,66,2
11,2,,11/18/2025 13:23,1,1,68,3,1,2,1,3,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,100,1,1,1,1,0,1,1,1,0,1,0,1,1,2,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,93,2
13,2,,11/18/2025 14:32,1,1,64,3,1,4,2,3,1,1,1,1,1,3,2,1,1,1,1,2,1,1,1,80,1,1,1,1,0,1,1,1,0,1,1,2,0,1,1,1,1,1,0,2,0,1,1,1,1,1,1,2,0,2,73,2
15,2,,11/18/2025 15:52,1,1,64,3,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,90,0,2,1,1,1,2,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,2,1,2,0,2,73,2
17,2,,11/18/2025 17:42,1,1,55,3,1,4,2,3,1,1,1,1,1,4,2,1,1,1,1,2,1,3,2,70,1,1,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,73,2
18,1,,11/18/2025 17:43,1,1,31,3,1,2,1,3,1,1,1,1,1,3,2,1,1,1,1,1,2,1,1,80,1,1,1,1,0,1,1,1,0,1,0,1,1,2,1,1,0,2,1,1,0,1,1,1,1,1,0,1,0,2,80,2
19,2,,11/18/2025 18:35,1,1,70,4,2,4,2,3,1,2,2,4,2,3,2,2,2,1,1,2,1,4,2,30,1,1,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,2,93,2
20,1,,11/18/2025 18:59,1,1,32,2,2,3,2,4,2,1,1,4,2,2,2,4,2,1,1,1,2,1,1,30,1,1,0,2,0,1,0,2,1,2,0,1,0,1,0,2,0,2,0,2,1,2,0,2,0,2,0,1,0,2,33,2
21,2,,11/18/2025 19:28,1,1,39,4,1,2,1,3,1,1,1,4,2,1,1,1,1,1,1,1,2,2,2,70,1,1,0,2,1,2,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,2,0,1,0,2,73,2
25,2,,11/20/2025 14:54,1,1,76,1,2,1,2,3,1,4,2,1,1,3,2,1,1,1,1,1,2,2,2,40,1,1,1,1,1,2,1,1,0,1,0,1,0,1,1,1,1,1,0,2,0,1,1,1,1,1,1,2,0,2,73,2
26,1,,11/21/2025 1:50,1,1,79,1,2,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,60,1,1,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,100,2
27,2,,11/24/2025 11:33,1,1,0,3,1,4,2,3,1,1,1,1,1,1,1,2,2,1,1,1,2,1,1,70,1,1,0,2,1,2,1,1,1,2,0,1,0,1,1,1,1,1,0,2,0,1,0,2,1,1,1,2,1,1,53,2
